Entry Time,Exit Time,Direction,Entry Price,SL Price,TP Price,Exit Price,Result,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
2024-01-03 14:00:00,2024-01-03 14:20:00,SHORT,16457.95,16469.45,16434.96,16469.45,SL,500.0,-500.0,100000.0,99500.0
2024-01-03 15:10:00,2024-01-03 16:00:00,SHORT,16415.45,16445.34,16355.67,16445.34,SL,475.0,-475.0,99500.0,99025.0
2024-01-03 17:15:00,2024-01-03 17:25:00,SHORT,16397.4,16413.67,16364.87,16413.67,SL,451.25,-451.25,99025.0,98573.75
2024-01-04 13:30:00,2024-01-04 14:25:00,SHORT,16326.65,16341.57,16296.82,16296.82,TP,428.69,857.38,98573.75,99431.12
2024-01-04 16:50:00,2024-01-04 17:45:00,SHORT,16374.5,16394.18,16335.14,16335.14,TP,471.56,943.11,99431.12,100374.24
2024-01-05 13:30:00,2024-01-05 13:50:00,SHORT,16222.1,16240.08,16186.15,16240.08,SL,518.71,-518.71,100374.24,99855.53
2024-01-05 14:00:00,2024-01-05 14:30:00,LONG,16273.45,16250.64,16319.07,16319.07,TP,492.78,985.55,99855.53,100841.08
2024-01-05 15:00:00,2024-01-05 16:40:00,LONG,16388.95,16359.39,16448.07,16359.39,SL,542.05,-542.05,100841.08,100299.02
2024-01-08 14:15:00,2024-01-08 14:30:00,LONG,16361.75,16350.51,16384.22,16384.22,TP,514.95,1029.9,100299.02,101328.93
2024-01-08 14:35:00,2024-01-08 14:55:00,LONG,16422.1,16405.46,16455.37,16455.37,TP,566.45,1132.89,101328.93,102461.82
2024-01-08 15:00:00,2024-01-08 17:00:00,LONG,16495.6,16473.22,16540.36,16540.36,TP,623.09,1246.18,102461.82,103708.0
2024-01-08 17:30:00,2024-01-08 18:40:00,LONG,16552.35,16539.0,16579.05,16579.05,TP,685.4,1370.8,103708.0,105078.8
2024-01-09 13:30:00,2024-01-09 13:40:00,SHORT,16547.35,16558.36,16525.33,16525.33,TP,753.94,1507.88,105078.8,106586.68
2024-01-09 16:00:00,2024-01-09 16:50:00,LONG,16616.35,16595.6,16657.84,16657.84,TP,829.33,1658.67,106586.68,108245.35
2024-01-09 16:55:00,2024-01-09 17:15:00,LONG,16689.45,16673.37,16721.61,16673.37,SL,912.27,-912.27,108245.35,107333.08
2024-01-09 17:50:00,2024-01-09 18:25:00,LONG,16701.2,16687.83,16727.95,16687.83,SL,866.65,-866.65,107333.08,106466.43
2024-01-10 13:30:00,2024-01-10 14:20:00,SHORT,16684.9,16696.09,16662.52,16696.09,SL,823.32,-823.32,106466.43,105643.11
2024-01-10 15:40:00,2024-01-10 16:10:00,LONG,16745.65,16725.42,16786.1,16725.42,SL,782.16,-782.16,105643.11,104860.95
2024-01-10 17:10:00,2024-01-10 18:00:00,LONG,16752.65,16738.03,16781.89,16781.89,TP,743.05,1486.1,104860.95,106347.05
2024-01-11 13:30:00,2024-01-11 14:25:00,SHORT,16811.0,16837.68,16757.64,16837.68,SL,817.35,-817.35,106347.05,105529.69
2024-01-11 15:00:00,2024-01-11 15:30:00,SHORT,16754.15,16788.93,16684.58,16788.93,SL,776.48,-776.48,105529.69,104753.21
2024-01-11 16:05:00,2024-01-11 16:40:00,SHORT,16701.4,16733.86,16636.49,16636.49,TP,737.66,1475.32,104753.21,106228.53
2024-01-12 13:30:00,2024-01-12 13:45:00,LONG,16830.35,16809.74,16871.58,16809.74,SL,811.43,-811.43,106228.53,105417.1
2024-01-12 14:20:00,2024-01-12 14:40:00,LONG,16853.2,16836.14,16887.32,16887.32,TP,770.86,1541.71,105417.1,106958.81
2024-01-12 15:00:00,2024-01-12 15:05:00,SHORT,16823.35,16851.04,16767.97,16851.04,SL,847.94,-847.94,106958.81,106110.87
2024-01-12 15:15:00,2024-01-12 15:30:00,SHORT,16805.75,16840.11,16737.04,16840.11,SL,805.54,-805.54,106110.87,105305.33
2024-01-12 15:45:00,2024-01-12 16:05:00,SHORT,16796.25,16829.85,16729.05,16829.85,SL,765.27,-765.27,105305.33,104540.06
2024-01-12 17:50:00,2024-01-12 20:00:00,LONG,16825.25,16805.29,16865.16,16805.29,SL,727.0,-727.0,104540.06,103813.06
2024-01-15 14:00:00,2024-01-15 14:15:00,SHORT,16819.7,16826.71,16805.68,16826.71,SL,690.65,-690.65,103813.06,103122.41
2024-01-15 15:30:00,2024-01-15 16:00:00,LONG,16831.45,16823.32,16847.7,16847.7,TP,656.12,1312.24,103122.41,104434.65
2024-01-15 16:55:00,2024-01-15 17:05:00,SHORT,16833.45,16839.09,16822.17,16839.09,SL,721.73,-721.73,104434.65,103712.92
2024-01-16 14:30:00,2024-01-16 14:35:00,LONG,16798.6,16780.86,16834.07,16780.86,SL,685.65,-685.65,103712.92,103027.27
2024-01-16 15:15:00,2024-01-16 15:45:00,LONG,16837.35,16808.62,16894.8,16894.8,TP,651.36,1302.73,103027.27,104330.0
2024-01-16 17:00:00,2024-01-16 19:15:00,SHORT,16805.2,16835.36,16744.88,16744.88,TP,716.5,1433.0,104330.0,105763.0
2024-01-17 13:30:00,2024-01-17 13:40:00,SHORT,16736.6,16749.78,16710.24,16710.24,TP,788.15,1576.3,105763.0,107339.3
2024-01-17 13:45:00,2024-01-17 14:05:00,SHORT,16687.5,16704.63,16653.25,16704.63,SL,866.96,-866.96,107339.3,106472.33
2024-01-17 14:30:00,2024-01-17 14:50:00,SHORT,16637.15,16661.35,16588.75,16588.75,TP,823.62,1647.23,106472.33,108119.56
2024-01-17 14:55:00,2024-01-17 15:05:00,SHORT,16584.8,16610.84,16532.72,16610.84,SL,905.98,-905.98,108119.56,107213.59
2024-01-17 17:20:00,2024-01-17 17:55:00,SHORT,16669.5,16689.47,16629.57,16689.47,SL,860.68,-860.68,107213.59,106352.91
2024-01-18 14:30:00,2024-01-18 14:50:00,LONG,16906.35,16886.58,16945.88,16886.58,SL,817.65,-817.65,106352.91,105535.26
2024-01-18 15:30:00,2024-01-18 16:30:00,LONG,16916.35,16888.2,16972.64,16972.64,TP,776.76,1553.53,105535.26,107088.79
2024-01-19 16:05:00,2024-01-19 17:25:00,LONG,17124.6,17102.54,17168.72,17168.72,TP,854.44,1708.88,107088.79,108797.67
2024-01-19 17:30:00,2024-01-19 18:10:00,LONG,17177.45,17157.83,17216.69,17216.69,TP,939.88,1879.77,108797.67,110677.43
2024-02-01 14:20:00,2024-02-01 14:30:00,SHORT,17225.8,17241.5,17194.4,17241.5,SL,1033.87,-1033.87,110677.43,109643.56
2024-02-01 15:50:00,2024-02-01 16:35:00,SHORT,17200.05,17227.78,17144.59,17227.78,SL,982.18,-982.18,109643.56,108661.38
2024-02-01 17:00:00,2024-02-01 17:50:00,LONG,17263.8,17241.03,17309.33,17309.33,TP,933.07,1866.14,108661.38,110527.52
2024-02-02 13:30:00,2024-02-02 13:40:00,SHORT,17439.05,17460.57,17396.0,17460.57,SL,1026.38,-1026.38,110527.52,109501.15
2024-02-02 13:55:00,2024-02-02 14:35:00,SHORT,17409.8,17436.48,17356.45,17436.48,SL,975.06,-975.06,109501.15,108526.09
2024-02-02 14:40:00,2024-02-02 15:40:00,LONG,17487.55,17458.36,17545.93,17545.93,TP,926.3,1852.61,108526.09,110378.7
2024-02-02 16:25:00,2024-02-02 17:25:00,LONG,17582.7,17554.65,17638.8,17638.8,TP,1018.93,2037.87,110378.7,112416.57
2024-02-05 13:35:00,2024-02-05 14:10:00,SHORT,17622.8,17632.24,17603.93,17632.24,SL,1120.83,-1120.83,112416.57,111295.74
2024-02-05 14:15:00,2024-02-05 14:30:00,LONG,17635.55,17626.1,17654.45,17654.45,TP,1064.79,2129.57,111295.74,113425.31
2024-02-05 15:00:00,2024-02-05 15:05:00,SHORT,17576.8,17600.73,17528.93,17600.73,SL,1171.27,-1171.27,113425.31,112254.05
2024-02-05 15:15:00,2024-02-05 15:45:00,SHORT,17537.4,17567.14,17477.91,17477.91,TP,1112.7,2225.4,112254.05,114479.45
2024-02-05 17:00:00,2024-02-05 17:35:00,LONG,17585.4,17566.99,17622.23,17622.23,TP,1223.97,2447.95,114479.45,116927.4
2024-02-06 14:30:00,2024-02-06 14:45:00,SHORT,17651.9,17665.82,17624.07,17624.07,TP,1346.37,2692.74,116927.4,119620.14
2024-02-06 14:55:00,2024-02-06 15:25:00,SHORT,17578.15,17603.6,17527.25,17527.25,TP,1481.01,2962.01,119620.14,122582.15
2024-03-01 13:35:00,2024-03-01 13:45:00,SHORT,18053.15,18065.79,18027.88,18065.79,SL,1629.11,-1629.11,122582.15,120953.04
2024-03-01 14:30:00,2024-03-01 14:35:00,LONG,18104.65,18088.91,18136.13,18088.91,SL,1547.65,-1547.65,120953.04,119405.39
2024-03-01 15:10:00,2024-03-01 15:30:00,LONG,18150.28,18123.36,18204.11,18123.36,SL,1470.27,-1470.27,119405.39,117935.12
2024-03-01 16:00:00,2024-03-01 17:25:00,LONG,18186.0,18162.31,18233.38,18233.38,TP,1396.76,2793.51,117935.12,120728.63
2024-03-01 17:45:00,2024-03-01 18:10:00,LONG,18245.5,18230.96,18274.59,18274.59,TP,1536.43,3072.86,120728.63,123801.5
2024-03-04 14:00:00,2024-03-04 14:30:00,SHORT,18304.65,18313.74,18286.47,18286.47,TP,1690.07,3380.15,123801.5,127181.65
2024-03-04 16:30:00,2024-03-04 16:35:00,SHORT,18262.15,18278.85,18228.75,18278.85,SL,1859.08,-1859.08,127181.65,125322.56
2024-03-04 17:40:00,2024-03-04 18:00:00,SHORT,18273.15,18287.39,18244.68,18287.39,SL,1766.13,-1766.13,125322.56,123556.44
2024-03-06 13:55:00,2024-03-06 14:00:00,LONG,18082.9,18069.57,18109.56,18069.57,SL,1677.82,-1677.82,123556.44,121878.61
2024-03-06 14:50:00,2024-03-06 15:00:00,SHORT,18047.4,18068.83,18004.54,18004.54,TP,1593.93,3187.86,121878.61,125066.47
