Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
1,500.0,-500.0,100000.0,99500.0
2,475.0,1187.5,99500.0,100687.5
3,534.375,1335.9275000935663,100687.5,102023.42750009356
4,601.171375004678,-601.171375004678,102023.42750009356,101422.25612508888
5,571.1128062544442,-571.1128062544442,101422.25612508888,100851.14331883444
6,542.5571659417219,1356.38291490654,100851.14331883444,102207.52623374098
7,610.376311687049,1525.930779278049,102207.52623374098,103733.45701301903
8,686.6728506509513,1716.6971266896494,103733.45701301903,105450.15413970867
9,772.5077069854335,-772.5077069854335,105450.15413970867,104677.64643272324
10,733.8823216361619,1834.7158041220398,104677.64643272324,106512.36223684528
11,825.6181118422639,2064.0452796056597,106512.36223684528,108576.40751645094
12,928.820375822547,-928.820375822547,108576.40751645094,107647.5871406284
13,882.3793570314199,-882.3793570314199,107647.5871406284,106765.20778359698
14,838.2603891798492,-838.2603891798492,106765.20778359698,105926.94739441713
15,796.3473697208567,-796.3473697208567,105926.94739441713,105130.60002469628
16,756.530001234814,-756.530001234814,105130.60002469628,104374.07002346146
17,718.7035011730732,-718.7035011730732,104374.07002346146,103655.36652228839
18,682.7683261144193,1706.9158152983066,103655.36652228839,105362.28233758669
19,768.1141168793343,-768.1141168793343,105362.28233758669,104594.16822070735
20,729.7084110353674,-729.7084110353674,104594.16822070735,103864.45980967199
21,693.2229904835992,1733.0674762521369,103864.45980967199,105597.52728592412
22,779.8763642962061,1949.680910787134,105597.52728592412,107547.20819671126
23,877.360409835563,-877.360409835563,107547.20819671126,106669.8477868757
24,833.4923893437851,-833.4923893437851,106669.8477868757,105836.35539753192
25,791.8177698765961,-791.8177698765961,105836.35539753192,105044.53762765533
26,752.2268813827665,-752.2268813827665,105044.53762765533,104292.31074627256
27,714.615537313628,-714.615537313628,104292.31074627256,103577.69520895893
28,678.8847604479466,1697.1969012356342,103577.69520895893,105274.89211019456
29,763.744605509728,-763.744605509728,105274.89211019456,104511.14750468484
30,725.5573752342418,1813.8934380856049,104511.14750468484,106325.04094277044
